District,,2011,,,2016,,,2021,,,2026,,,2031,
Mugu,55286,28025,27261,60109,30950,29159,65102,34072,31030,69571,37057,32514,73489,39838,33651
Humla,50858,25833,25025,55261,28254,27007,59800,30810,28990,63841,33181,30660,67340,35315,32025
Bajura,134912,65806,69106,146338,71971,74367,158078,78472,79606,168561,84569,83992,177612,90080,87532
Bajhang,195159,92794,102365,210122,100711,109411,225304,108970,116334,239314,116949,122365,251166,124055,127111
Aachham,257477,120008,137469,274505,129324,145181,291468,138948,152520,308049,148801,159248,321734,157514,164220
Doti,211746,97252,114494,213619,94837,118782,213465,91146,122319,217832,88899,128933,218884,84542,134342
Kailali,775709,378417,397292,870771,422917,447854,971320,469848,501472,1050982,506649,544333,1122577,539044,583533
Kanchanpur,451248,216042,235206,494553,232715,261838,539119,249012,290107,582034,263513,318521,619897,274274,345623
Dadeldhura,142094,66556,75538,151312,70860,80452,160426,75167,85259,168622,79132,89490,175060,82275,92785
Baitadi,250898,117407,133491,260015,121427,138588,267932,124947,142985,278614,129861,148753,286041,133214,152827
Darchula,133274,63605,69669,139712,66818,72894,145761,69914,75847,152622,73503,79119,157838,76331,81507
